"JOLLY","BELIEF","PRESENTS","AMOUNTOP","FOOD"
"Pretty jolly (75%)","Yes","Legos","Less than 20","Christmas Cookies"
"A little jolly (50%)","No","A new car","Less than 10","Candy Canes"
"Pretty jolly (75%)","No","Electronics","Less than 20","Brownies (jolly edition)"
"A little jolly (50%)","Yes","Legos","Less than 10","Christmas Cookies"
